set_name,visible_name,release_year,set_metadata_total_cards,stored_printed_denominator,reference_printed_denominator,bulbapedia_name,total_imported_card_rows,affected_card_rows,unique_numerators,max_numerator,sample_current_display,sample_proposed_display,sample_current_display_max,sample_proposed_display_max,reference_source,status,notes
Japanese White Flare,White Flare,2025,174,174,86,,331,326,174,174,1/174,1/86,174/174,174/86,bulbapedia_luke_2026-08-04,HOLD_AGGREGATE_OR_SPLIT,Stored /174 but authoritative printed base is /86. Would rewrite 326 card rows.
Japanese Black Bolt,Black Bolt,2025,174,174,86,,338,334,174,174,1/174,1/86,174/174,174/86,bulbapedia_luke_2026-08-04,HOLD_AGGREGATE_OR_SPLIT,Stored /174 but authoritative printed base is /86. Would rewrite 334 card rows.
Japanese Challenge from the Darkness,Challenge from the Darkness,2011,208,208,98,,111,82,74,208,2/208,2/98,208/208,208/98,bulbapedia_luke_2026-08-04,HOLD_AGGREGATE_OR_SPLIT,Stored /208 but authoritative printed base is /98. Would rewrite 82 card rows.
Japanese Crossing the Ruins,Crossing the Ruins,2010,248,248,56,Crossing the Ruins...,59,53,46,248,10/248,10/56,248/248,248/56,bulbapedia_luke_2026-08-04,HOLD_AGGREGATE_OR_SPLIT,Stored /248 but authoritative printed base is /56. Would rewrite 53 card rows.
"Japanese Darkness, and to Light","Darkness, and to Light",2010,251,251,113,"Darkness, and to Light...",115,30,28,251,6/251,6/113,251/251,251/113,bulbapedia_luke_2026-08-04,HOLD_AGGREGATE_OR_SPLIT,Stored /251 but authoritative printed base is /113. Would rewrite 30 card rows.
Japanese Secret of the Lakes,Secret of the Lakes,2007,298,298,123,,251,2,2,298,,,298/298,298/123,bulbapedia_luke_2026-08-04,HOLD_AGGREGATE_OR_SPLIT,Stored /298 but authoritative printed base is /123. Would rewrite 2 card rows.
Japanese Holon Phantom,Holon Phantom,2006,104,104,52,,105,105,53,104,1/104,1/52,104/104,104/52,bulbapedia_luke_2026-08-04,HOLD_AGGREGATE_OR_SPLIT,Stored /104 but authoritative printed base is /52. Would rewrite 105 card rows.
Japanese Awakening Legends,Awakening Legends,2000,251,251,57,,62,20,18,251,46/251,46/57,251/251,251/57,bulbapedia_luke_2026-08-04,HOLD_AGGREGATE_OR_SPLIT,Stored /251 but authoritative printed base is /57. Would rewrite 20 card rows.
Japanese Leaders' Stadium,Leaders' Stadium,2000,148,148,96,,167,98,71,148,1/148,1/96,148/148,148/96,bulbapedia_luke_2026-08-04,HOLD_AGGREGATE_OR_SPLIT,Stored /148 but authoritative printed base is /96. Would rewrite 98 card rows.
"Japanese Gold, Silver, New World","Gold, Silver, New World",1999,249,249,96,"Gold, Silver, to a New World...",108,81,73,249,25/249,25/96,249/249,249/96,bulbapedia_luke_2026-08-04,HOLD_AGGREGATE_OR_SPLIT,Stored /249 but authoritative printed base is /96. Would rewrite 81 card rows.
Japanese Mystery of the Fossils,Mystery of the Fossils,1997,151,151,48,,50,44,44,151,23/151,23/48,151/151,151/48,bulbapedia_luke_2026-08-04,HOLD_AGGREGATE_OR_SPLIT,Stored /151 but authoritative printed base is /48. Would rewrite 44 card rows.
Japanese Rocket Gang,Rocket Gang,1997,149,149,65,,69,53,53,149,4/149,4/65,149/149,149/65,bulbapedia_luke_2026-08-04,HOLD_AGGREGATE_OR_SPLIT,Stored /149 but authoritative printed base is /65. Would rewrite 53 card rows.
Japanese Expansion Pack,Expansion Pack,1996,150,150,102,,203,137,69,150,1/150,1/102,150/150,150/102,bulbapedia_luke_2026-08-04,HOLD_AGGREGATE_OR_SPLIT,Stored /150 but authoritative printed base is /102. Would rewrite 137 card rows.
Japanese Abyss Eye,Abyss Eye,2025,118,118,81,,121,118,118,118,1/118,1/81,118/118,118/81,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /118 but authoritative printed base is /81. Would rewrite 118 card rows.
Japanese Glory of Team Rocket,Glory of Team Rocket,2025,132,132,98,Glory of the Rocket Gang,135,132,132,132,1/132,1/98,132/132,132/98,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /132 but authoritative printed base is /98. Would rewrite 132 card rows.
Japanese Nihil Zero,Nihil Zero,2025,117,117,80,,120,117,117,117,1/117,1/80,117/117,117/80,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /117 but authoritative printed base is /80. Would rewrite 117 card rows.
Japanese Inferno X,Inferno X,2025,116,116,80,,118,116,116,116,1/116,1/80,116/116,116/80,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /116 but authoritative printed base is /80. Would rewrite 116 card rows.
Japanese Mysterious Mountains,Mysterious Mountains,2025,91,91,88,,185,183,91,91,1/91,1/88,91/91,91/88,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /91 but authoritative printed base is /88. Would rewrite 183 card rows.
Japanese Wild Force,Wild Force,2024,100,100,71,,102,100,100,100,1/100,1/71,100/100,100/71,bulbapedia_luke_2026-08-04,APPLY_SAFE,Stored /100 but authoritative printed base is /71. Would rewrite 100 card rows.
